number,datetime,name,address,coordinates,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure,bike_stands,available_bike_stands
13,2024-04-13 13:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",23.1,49,11.8,24.0,0,0.0,996.4,20,1
13,2024-04-13 11:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",20.2,59,11.9,20.8,0,0.0,997.2,20,1
13,2024-04-13 12:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",21.9,54,12.2,22.9,0,0.0,997.1,20,1
13,2024-04-13 13:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",23.1,49,11.8,24.0,0,0.0,996.4,20,2
13,2024-04-13 14:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",24.1,40,9.7,24.7,0,0.0,995.7,20,0
13,2024-04-13 15:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",24.5,38,9.3,24.0,0,0.0,994.9,20,1
13,2024-04-13 16:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",24.6,39,9.7,23.3,0,0.0,993.9,20,5
13,2024-04-13 17:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",24.9,36,8.8,22.9,0,0.0,992.9,20,12
13,2024-04-13 18:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",24.4,42,10.6,22.6,0,0.0,992.7,20,8
13,2024-04-13 19:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",22.8,46,10.6,21.2,0,0.0,992.3,20,6
13,2024-04-13 20:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",21.2,49,10.0,19.6,0,0.0,992.3,20,5
13,2024-04-13 21:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",19.5,52,9.4,18.3,0,0.0,992.2,20,14
13,2024-04-14 00:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",15.7,67,9.6,15.4,0,0.0,992.5,20,13
13,2024-04-14 00:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",15.0,74,10.4,14.9,0,0.0,992.6,20,13
13,2024-04-14 01:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",14.8,72,9.8,14.4,0,0.0,992.2,20,13
13,2024-04-14 03:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",11.9,83,9.1,11.2,0,0.0,991.1,20,13
13,2024-04-14 04:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",12.0,80,8.7,11.5,0,0.0,991.0,20,13
13,2024-04-14 05:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",11.7,79,8.1,10.9,0,0.0,990.6,20,12
13,2024-04-14 06:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",10.4,86,8.2,9.8,0,0.0,990.4,20,11
13,2024-04-14 08:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",11.3,88,9.4,10.8,0,0.0,990.1,20,9
13,2024-04-14 11:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",23.0,52,12.6,23.5,0,0.0,990.2,20,8
13,2024-04-14 14:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",28.8,32,10.4,28.0,0,0.0,988.3,20,10
13,2024-04-14 21:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",20.3,54,10.6,20.0,0,0.0,984.0,20,19
13,2024-04-15 00:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",15.7,69,10.0,14.9,0,0.0,983.9,20,20
13,2024-04-15 03:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",14.4,74,9.8,14.3,0,0.0,982.8,20,20
13,2024-04-15 04:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",13.4,74,8.8,12.8,0,0.0,981.9,20,18
13,2024-04-15 05:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",12.1,82,9.1,11.4,0,0.0,981.5,20,19
13,2024-04-15 06:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",11.9,79,8.3,11.1,0,0.0,980.4,20,20
13,2024-04-15 07:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",11.9,79,8.3,11.2,0,0.0,980.2,20,19
13,2024-04-15 08:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",13.2,75,8.9,12.4,0,0.0,979.5,20,20
13,2024-04-15 09:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",17.9,61,10.2,17.0,0,0.1,979.7,20,20
13,2024-04-15 10:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",22.0,46,9.8,20.5,0,0.1,979.4,20,17
13,2024-04-15 11:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",24.4,39,9.6,23.5,0,0.1,979.0,20,13
13,2024-04-15 12:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",26.1,36,9.8,26.1,0,0.1,978.8,20,15
13,2024-04-15 13:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",27.5,33,9.8,27.1,0,0.1,977.6,20,9
13,2024-04-15 14:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",27.0,31,8.4,24.5,0,0.1,977.3,20,9
13,2024-04-15 15:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",27.5,29,7.9,24.8,0,0.1,976.3,20,8
13,2024-04-15 16:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",27.0,31,8.4,24.1,0,0.1,975.5,20,12
13,2024-04-15 17:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",25.4,31,7.0,22.2,0,0.1,975.4,20,10
13,2024-04-15 18:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",23.4,35,7.1,19.9,0,0.1,974.0,20,8
13,2024-04-15 19:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",22.1,39,7.5,18.5,0,0.1,973.9,20,10
13,2024-04-15 20:00:00,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,"{'lat': 46.561555, 'lng': 15.65692}",21.2,41,7.4,18.1,0,0.1,973.3,20,7
