number,datetime,name,address,coordinates,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure,bike_stands,available_bike_stands
16,2024-04-13 13:00:00,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,"{'lat': 46.559319, 'lng': 15.63498}",23.2,47,11.3,23.9,0,0.0,996.1,20,20
16,2024-04-13 11:00:00,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,"{'lat': 46.559319, 'lng': 15.63498}",20.3,56,11.2,20.5,0,0.0,996.8,20,19
16,2024-04-13 12:00:00,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,"{'lat': 46.559319, 'lng': 15.63498}",22.0,53,11.9,22.7,0,0.0,996.7,20,20
